name,brand,price_php,ram_gb,storage_gb,storage_type,battery_hrs,weight_kg,has_gpu,os,track_scores,image_url
"Acer Aspire 3","Acer",24990,8,512,"SSD",6,1.8,false,"Windows","{""web_dev"":65,""networking"":60,""data"":55,""general"":70}",""
"Lenovo IdeaPad Slim 3","Lenovo",27990,8,256,"SSD",8,1.7,false,"Windows","{""web_dev"":70,""networking"":65,""data"":60,""general"":75}",""
"HP Pavilion 14","HP",32990,16,512,"SSD",7,1.6,false,"Windows","{""web_dev"":80,""networking"":75,""data"":70,""general"":85}",""
"Asus VivoBook 15","Asus",29990,8,512,"SSD",6,1.8,false,"Windows","{""web_dev"":75,""networking"":70,""data"":65,""general"":80}",""
"Dell Inspiron 14","Dell",34990,16,512,"SSD",8,1.5,false,"Windows","{""web_dev"":85,""networking"":80,""data"":75,""general"":90}",""
"Lenovo ThinkPad E14 Gen 5","Lenovo",42990,16,512,"SSD",10,1.6,false,"Windows","{""web_dev"":90,""networking"":95,""data"":85,""general"":80}",""
"Asus ZenBook 14 OLED","Asus",48990,16,512,"SSD",9,1.3,false,"Windows","{""web_dev"":85,""networking"":80,""data"":80,""general"":90}",""
"HP ProBook 450 G10","HP",45990,16,512,"SSD",8,1.7,false,"Windows","{""web_dev"":88,""networking"":92,""data"":82,""general"":78}",""
"Acer Swift Go 14","Acer",39990,16,512,"SSD",10,1.3,false,"Windows","{""web_dev"":82,""networking"":78,""data"":75,""general"":88}",""
"MSI Modern 14","MSI",36990,16,512,"SSD",7,1.4,false,"Windows","{""web_dev"":78,""networking"":75,""data"":70,""general"":82}",""
"Lenovo Legion 5","Lenovo",64990,16,512,"SSD",5,2.4,true,"Windows","{""web_dev"":95,""networking"":85,""data"":98,""general"":70}",""
"Asus TUF Gaming A15","Asus",59990,16,512,"SSD",6,2.3,true,"Windows","{""web_dev"":92,""networking"":80,""data"":95,""general"":65}",""
"HP Victus 15","HP",54990,16,512,"SSD",5,2.2,true,"Windows","{""web_dev"":88,""networking"":75,""data"":90,""general"":60}",""
"Acer Nitro V 15","Acer",52990,16,512,"SSD",4,2.5,true,"Windows","{""web_dev"":85,""networking"":70,""data"":88,""general"":55}",""
"MSI Katana 15","MSI",68990,16,1024,"SSD",5,2.4,true,"Windows","{""web_dev"":96,""networking"":82,""data"":97,""general"":68}",""
"Dell G15","Dell",62990,16,512,"SSD",5,2.6,true,"Windows","{""web_dev"":90,""networking"":78,""data"":93,""general"":62}",""
"Lenovo IdeaPad Gaming 3","Lenovo",49990,8,512,"SSD",5,2.2,true,"Windows","{""web_dev"":80,""networking"":70,""data"":82,""general"":55}",""
"Asus ROG Strix G15","Asus",74990,16,1024,"SSD",4,2.3,true,"Windows","{""web_dev"":98,""networking"":88,""data"":99,""general"":72}",""
"MacBook Air M2","Apple",69990,8,256,"SSD",15,1.24,false,"macOS","{""web_dev"":95,""networking"":85,""data"":90,""general"":95}",""
"MacBook Air M3","Apple",79990,8,256,"SSD",18,1.24,false,"macOS","{""web_dev"":97,""networking"":88,""data"":93,""general"":97}",""
"MacBook Pro 14 M3","Apple",109990,18,512,"SSD",17,1.55,false,"macOS","{""web_dev"":99,""networking"":92,""data"":98,""general"":90}",""
"Budget Web Dev Build","Custom",28990,16,512,"SSD",0,0,false,"Windows","{""web_dev"":90,""networking"":85,""data"":88,""general"":40}",""
"Mid-Range Networking/Dev Build","Custom",42990,32,1024,"SSD",0,0,false,"Windows","{""web_dev"":95,""networking"":98,""data"":92,""general"":35}",""
"Data Science/ML Build","Custom",64990,32,1024,"SSD",0,0,true,"Windows","{""web_dev"":98,""networking"":90,""data"":99,""general"":30}",""
"High-End Workstation","Custom",89990,64,2048,"SSD",0,0,true,"Windows","{""web_dev"":99,""networking"":95,""data"":99,""general"":25}",""
"Student Mini-PC (NUC Style)","Custom",34990,16,512,"SSD",0,0,false,"Windows","{""web_dev"":85,""networking"":88,""data"":80,""general"":50}",""
"Compact Linux Dev Build","Custom",24990,16,512,"SSD",0,0,false,"Linux","{""web_dev"":88,""networking"":82,""data"":85,""general"":45}",""
"Budget Gaming/Dev Hybrid","Custom",39990,16,512,"SSD",0,0,true,"Windows","{""web_dev"":85,""networking"":78,""data"":88,""general"":40}",""
"All-Rounder Student Desktop","Custom",32990,16,512,"SSD",0,0,false,"Windows","{""web_dev"":82,""networking"":85,""data"":78,""general"":55}",""
"High-Perf Data Analytics Rig","Custom",74990,64,2048,"SSD",0,0,true,"Windows","{""web_dev"":95,""networking"":88,""data"":99,""general"":20}",""
"Lenovo Yoga 7 2-in-1","Lenovo",54990,16,512,"SSD",10,1.5,false,"Windows","{""web_dev"":80,""networking"":75,""data"":72,""general"":85}",""
"HP Envy x360","HP",48990,16,512,"SSD",9,1.4,false,"Windows","{""web_dev"":78,""networking"":72,""data"":70,""general"":88}",""
"Asus ROG Flow X13","Asus",79990,16,1024,"SSD",8,1.3,true,"Windows","{""web_dev"":92,""networking"":80,""data"":94,""general"":75}",""
"Microsoft Surface Laptop 5","Microsoft",62990,16,512,"SSD",12,1.27,false,"Windows","{""web_dev"":85,""networking"":80,""data"":78,""general"":92}",""
"Framework Laptop 13","Framework",59990,16,512,"SSD",8,1.3,false,"Linux","{""web_dev"":90,""networking"":85,""data"":88,""general"":80}",""
